Language,Q4,Q24,Q23,Q18,Q5,Q11,Q8,Q17_1,Q17_2,Q17_3,Q17_4,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q20
EN,Mexico,Female,18-24,1,4,Clinton,0,1.1,1.1,1.1,1.1,5.1,5.7,5,2.9,5,5.6,1.9
EN,NA,Female,41-50,1,5,Did Not Vote,1,1.2,2.2,2.9,3.6,3.4,3.2,5,3.4,5.1,5.3,4.8
EN,USA,Female,25-30,1,4,Clinton,0,5.5,3.4,5.1,5,5.9,5.4,5.7,6,5.4,6,5.8
ES,Argentina,Male,41-50,1,3,Did Not Vote,0,5.1,2.4,4.9,4.1,4.7,3,4.3,4.4,4.8,3.4,4.8
EN,USA,Male,41-50,0,5,Clinton,0,1,1,1.2,5.5,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,51-60,0,5,Did Not Vote,0,4,4.1,4.1,4.1,NA,NA,NA,NA,NA,NA,4
EN,USA,Male,51-60,0,5,Clinton,0,1,1,5.9,5.9,NA,NA,NA,NA,NA,NA,7
EN,USA,Female,41-50,0,5,Clinton,0,1,1,7,7,NA,NA,NA,NA,NA,NA,6.1
EN,NA,Female,18-24,1,2,Clinton,0,3.1,4,4,4,5,4.8,6.8,3.5,5.1,4.8,4.7
EN,Ecuador,Female,18-24,0,3,Clinton,0,1.4,3.1,5.7,4.5,NA,NA,NA,NA,NA,NA,5.2
EN,USA,Female,18-24,0,4,Other,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,NA,Female,25-30,1,4,Clinton,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN,USA,Male,51-60,1,5,Clinton,0,5.4,6.3,7,5.7,7,7,7,7,7,7,7
EN,USA,Male,18-24,0,3,Other,0,1,1,4.9,5.9,NA,NA,NA,NA,NA,NA,5.6
EN,USA,Female,31-40,1,4,Did Not Vote,0,4.7,4.7,4.7,5.2,5,5.1,5,5.3,5.2,5.1,5.2
EN,Brazil,Female,31-40,0,1,Did Not Vote,0,1,4,5.6,5.9,NA,NA,NA,NA,NA,NA,5.6
EN,USA,Male,31-40,1,5,Other,1,2.4,2.5,1.8,3.2,3.1,4.9,4.6,4.8,2.4,3,4
EN,USA,Male,41-50,1,5,Trump,1,1.2,1.2,2.1,2.2,3.5,3.5,3.5,3.5,4.8,3.4,1.4
EN,USA,Male,31-40,0,4,Clinton,1,5.9,5.9,6,6,NA,NA,NA,NA,NA,NA,4.1
EN,USA,Female,18-24,1,3,Trump,1,1,1,1,2.2,5.4,2.8,5.2,3.2,5.1,3.1,5.2
EN,Bolivia,Female,51-60,0,5,Clinton,1,1,1,6,6,NA,NA,NA,NA,NA,NA,6
